,docId,annotSet,annotType,startOffset,endOffset,annotId,text,other
0,S0006322312001096-1136,1,Quantity,73,77,T1-1,1991,
1,S0006322312001096-1136,1,MeasuredEntity,49,69,T2-1,baseline examination,"{""HasQuantity"": ""T1-1""}"
2,S0006322312001096-1136,2,Quantity,103,123,T1-2,"1997, 2003, and 2008","{""mods"": [""IsList""]}"
3,S0006322312001096-1136,2,MeasuredEntity,79,99,T2-2,follow-up screenings,"{""HasQuantity"": ""T1-2""}"
4,S0006322312001096-1136,3,Quantity,205,222,T1-3,5318 participants,"{""unit"": ""participants""}"
5,S0006322312001096-1136,3,MeasuredEntity,25,43,T3-3,Whitehall II study,"{""HasQuantity"": ""T1-3""}"
6,S0006322312001096-1136,4,Quantity,233,243,T21-4,54.8 years,"{""mods"": [""IsMean""], ""unit"": ""years""}"
7,S0006322312001096-1136,4,MeasuredProperty,224,232,T31-4,mean age,"{""HasQuantity"": ""T21-4""}"
8,S0006322312001096-1136,4,MeasuredEntity,205,222,T41-4,5318 participants,"{""HasProperty"": ""T31-4""}"
9,S0006322312001096-1136,5,Quantity,245,248,T12-5,31%,"{""unit"": ""%""}"
10,S0006322312001096-1136,5,MeasuredProperty,249,254,T52-5,women,"{""HasQuantity"": ""T12-5""}"
11,S0006322312001096-1136,5,MeasuredEntity,205,222,T42-5,5318 participants,"{""HasProperty"": ""T52-5""}"
12,S0006322312001096-1136,6,Quantity,576,579,T1-6,≥16,"{""mods"": [""IsRange""]}"
13,S0006322312001096-1136,6,MeasuredProperty,570,575,T2-6,score,"{""HasQuantity"": ""T1-6""}"
14,S0006322312001096-1136,6,MeasuredEntity,520,569,T3-6,Center for Epidemiologic Studies Depression Scale,"{""HasProperty"": ""T2-6""}"
15,S0006322312001096-1177,1,Quantity,94,98,T1-1,1985,
16,S0006322312001096-1177,1,MeasuredProperty,79,90,T3-1,established,"{""HasQuantity"": ""T1-1""}"
17,S0006322312001096-1177,1,MeasuredEntity,4,22,T2-1,Whitehall II study,"{""HasProperty"": ""T3-1""}"
18,S0006322312001096-1177,2,Quantity,260,268,T51-2,35 to 55,"{""mods"": [""IsRange""]}"
19,S0006322312001096-1177,2,MeasuredProperty,255,259,T61-2,aged,"{""HasQuantity"": ""T51-2""}"
20,S0006322312001096-1177,2,MeasuredEntity,202,219,T71-2,target population,"{""HasProperty"": ""T61-2""}"
21,S0006322312001096-1177,3,Quantity,281,283,T1-3,20,"{""mods"": [""IsCount""]}"
22,S0006322312001096-1177,3,MeasuredEntity,284,309,T2-3,civil service departments,"{""HasQuantity"": ""T1-3""}"
23,S0006322312001096-1177,4,Quantity,341,353,T1-4,1985 to 1988,"{""mods"": [""IsRange""]}"
24,S0006322312001096-1177,4,MeasuredProperty,313,324,T3-4,recruitment,"{""HasQuantity"": ""T1-4""}"
25,S0006322312001096-1177,4,MeasuredEntity,202,219,T2-4,target population,"{""HasProperty"": ""T3-4""}"
26,S0006322312001096-1177,5,Quantity,384,387,T12-5,73%,
27,S0006322312001096-1177,5,MeasuredProperty,372,380,T32-5,response,"{""HasQuantity"": ""T12-5""}"
28,S0006322312001096-1177,5,MeasuredEntity,393,399,T42-5,cohort,"{""HasProperty"": ""T32-5""}"
29,S0006322312001096-1177,6,Quantity,413,429,T2-6,"10,308 employees","{""unit"": ""employees""}"
30,S0006322312001096-1177,6,MeasuredEntity,393,399,T1-6,cohort,"{""HasQuantity"": ""T2-6""}"
31,S0006322312001096-1177,7,Quantity,431,439,T1-7,6895 men,"{""unit"": ""men""}"
