comboId,docId,annotId,annotSet,annotType,annotSpan,subSpanType,linkId,linkSpan,subSpan,unit,unitEncoded,misc
S0006322312001096-1136_T1-1,S0006322312001096-1136,T1-1,1,Quantity,"[73, 77]",,,,,,,
S0006322312001096-1136_T2-1,S0006322312001096-1136,T2-1,1,MeasuredEntity,"[49, 69]",HasQuantity,T1-1,"[73, 77]","[49, 77]",,,
S0006322312001096-1136_T1-2,S0006322312001096-1136,T1-2,2,Quantity,"[103, 123]",,,,,,,{'mods': ['IsList']}
S0006322312001096-1136_T2-2,S0006322312001096-1136,T2-2,2,MeasuredEntity,"[79, 99]",HasQuantity,T1-2,"[103, 123]","[79, 123]",,,
S0006322312001096-1136_T1-3,S0006322312001096-1136,T1-3,3,Quantity,"[205, 222]",,,,,participants,"[42038, 3277]",
S0006322312001096-1136_T3-3,S0006322312001096-1136,T3-3,3,MeasuredEntity,"[25, 43]",HasQuantity,T1-3,"[205, 222]","[25, 222]",,,
S0006322312001096-1136_T21-4,S0006322312001096-1136,T21-4,4,Quantity,"[233, 243]",,,,,years,[12857],
S0006322312001096-1136_T31-4,S0006322312001096-1136,T31-4,4,MeasuredProperty,"[224, 232]",HasQuantity,T21-4,"[233, 243]","[224, 243]",,,
S0006322312001096-1136_T41-4,S0006322312001096-1136,T41-4,4,MeasuredEntity,"[205, 222]",HasProperty,T31-4,"[224, 232]","[205, 232]",,,
S0006322312001096-1136_T12-5,S0006322312001096-1136,T12-5,5,Quantity,"[245, 248]",,,,,%,[207],
S0006322312001096-1136_T52-5,S0006322312001096-1136,T52-5,5,MeasuredProperty,"[249, 254]",HasQuantity,T12-5,"[245, 248]","[245, 254]",,,
S0006322312001096-1136_T42-5,S0006322312001096-1136,T42-5,5,MeasuredEntity,"[205, 222]",HasProperty,T52-5,"[249, 254]","[205, 254]",,,
S0006322312001096-1136_T1-6,S0006322312001096-1136,T1-6,6,Quantity,"[576, 579]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1136_T2-6,S0006322312001096-1136,T2-6,6,MeasuredProperty,"[570, 575]",HasQuantity,T1-6,"[576, 579]","[570, 579]",,,
S0006322312001096-1136_T3-6,S0006322312001096-1136,T3-6,6,MeasuredEntity,"[520, 569]",HasProperty,T2-6,"[570, 575]","[520, 575]",,,
S0006322312001096-1177_T1-1,S0006322312001096-1177,T1-1,1,Quantity,"[94, 98]",,,,,,,
