,docId,annotSet,annotType,startOffset,endOffset,annotId,text,other
0,S0012821X12004384-1610,1,Quantity,90,98,T1-1,2617.4 m,"{""unit"": ""m""}"
1,S0012821X12004384-1610,1,MeasuredEntity,4,14,T3-1,brief peak,"{""HasQuantity"": ""T1-1""}"
2,S0012821X12004384-1610,1,Qualifier,15,30,T4-1,in Apectodinium,"{""Qualifies"": ""T3-1""}"
3,S0012821X12004384-1610,2,Quantity,669,688,T1-2,2619.6 and 2614.7 m,"{""mods"": [""IsList""], ""unit"": ""m""}"
4,S0012821X12004384-1610,2,MeasuredEntity,638,649,T3-2,other peaks,"{""HasQuantity"": ""T1-2""}"
5,S0012821X12004384-1610,2,Qualifier,650,665,T4-2,in Apectodinium,"{""Qualifies"": ""T3-2""}"
6,S0012821X12004384-990,1,Quantity,31,34,T1-1,two,"{""mods"": [""IsCount""]}"
7,S0012821X12004384-990,1,MeasuredEntity,35,39,T2-1,axes,"{""HasQuantity"": ""T1-1""}"
8,S0012821X12004384-990,1,Qualifier,25,30,T3-1,first,"{""Qualifies"": ""T1-1""}"
9,S0012821X12004384-990,2,Quantity,107,110,T1-2,39%,"{""unit"": ""%""}"
10,S0012821X12004384-990,2,MeasuredProperty,100,106,T4-2,axis 1,"{""HasQuantity"": ""T1-2""}"
11,S0012821X12004384-990,2,MeasuredEntity,114,128,T3-2,total variance,"{""HasProperty"": ""T4-2""}"
12,S0012821X12004384-990,2,Qualifier,77,98,T2-2,total counts per gram,"{""Qualifies"": ""T3-2""}"
13,S0012821X12004384-990,3,Quantity,137,140,T1-3,17%,"{""unit"": ""%""}"
14,S0012821X12004384-990,3,MeasuredProperty,130,136,T2-3,axis 2,"{""HasQuantity"": ""T1-3""}"
15,S0012821X12004384-990,3,MeasuredEntity,144,158,T3-3,total variance,"{""HasProperty"": ""T2-3""}"
16,S0012821X12004384-990,3,Qualifier,77,98,T4-3,total counts per gram,"{""Qualifies"": ""T3-3""}"
17,S0012821X12004384-990,4,Quantity,220,223,T1-4,31%,"{""unit"": ""%""}"
18,S0012821X12004384-990,4,MeasuredProperty,213,219,T4-4,axis 1,"{""HasQuantity"": ""T1-4""}"
19,S0012821X12004384-990,4,MeasuredEntity,227,241,T5-4,total variance,"{""HasProperty"": ""T4-4""}"
20,S0012821X12004384-990,4,Qualifier,190,211,T3-4,total counts per gram,"{""Qualifies"": ""T5-4""}"
21,S0012821X12004384-990,5,Quantity,250,253,T1-5,11%,"{""unit"": ""%""}"
22,S0012821X12004384-990,5,MeasuredProperty,243,249,T3-5,axis 2,"{""HasQuantity"": ""T1-5""}"
23,S0012821X12004384-990,5,MeasuredEntity,257,271,T2-5,total variance,"{""HasProperty"": ""T3-5""}"
24,S0012821X12004384-990,5,Qualifier,190,211,T4-5,total counts per gram,"{""Qualifies"": ""T2-5""}"
25,S0012821X12004384-990,6,Quantity,552,575,T1-6,2619.60 m and 2614.71 m,"{""mods"": [""IsList""], ""unit"": ""m""}"
26,S0012821X12004384-990,6,MeasuredEntity,541,548,T3-6,Samples,"{""HasQuantity"": ""T1-6""}"
27,S0012821X13007309-1649,1,Quantity,460,464,T1-1,0.5‰,"{""unit"": ""‰""}"
