docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S016412121300188X-3207	1	Quantity	343	346	T1-1	89%	{"unit": "%"}
S016412121300188X-3207	1	MeasuredProperty	371	464	T3-1	contained at least one dependence cluster composed of 10% or more of the program's statements	{"HasQuantity": "T1-1"}
S016412121300188X-3207	1	MeasuredEntity	354	370	T4-1	programs studied	{"HasProperty": "T3-1"}
S016412121300188X-3207	2	Quantity	390	393	T1-2	one	{"mods": ["IsCount"]}
S016412121300188X-3207	2	MeasuredEntity	394	412	T2-2	dependence cluster	{"HasQuantity": "T1-2"}
S016412121300188X-3207	3	Quantity	425	428	T1-3	10%	{"unit": "%"}
S016412121300188X-3207	3	MeasuredProperty	381	412	T4-3	at least one dependence cluster	{"HasQuantity": "T1-3"}
S016412121300188X-3207	3	MeasuredEntity	444	464	T3-3	program's statements	{"HasProperty": "T4-3"}
S016412121300188X-3207	4	Quantity	511	517	T1-4	20KLoC	{"mods": ["IsMean"], "unit": "KLoC"}
S016412121300188X-3207	4	MeasuredProperty	470	482	T3-4	average size	{"HasQuantity": "T1-4"}
S016412121300188X-3207	4	MeasuredEntity	490	506	T4-4	programs studied	{"HasProperty": "T3-4"}
S016412121300188X-3207	5	Quantity	540	553	T1-5	more than 10%	{"mods": ["IsRange"], "unit": "%"}
S016412121300188X-3207	5	MeasuredProperty	528	536	T3-5	clusters	{"HasQuantity": "T1-5"}
S016412121300188X-3207	5	MeasuredEntity	444	464	T2-5	program's statements	{"HasProperty": "T3-5"}
S016412121300188X-3207	6	Quantity	640	643	T1-6	40%	{"unit": "%"}
S016412121300188X-3207	6	MeasuredProperty	666	723	T3-6	dependence cluster that consumed over half of the program	{"HasQuantity": "T1-6"}
S016412121300188X-3207	6	MeasuredEntity	651	659	T4-6	programs	{"HasProperty": "T3-6"}
S016412121300188X-3207	7	Quantity	699	708	T1-7	over half	{"mods": ["IsRange"]}
S016412121300188X-3207	7	MeasuredProperty	666	684	T3-7	dependence cluster	{"HasQuantity": "T1-7"}
S016412121300188X-3207	7	MeasuredEntity	716	723	T2-7	program	{"HasProperty": "T3-7"}
