docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S2213671113000738-684	1	Quantity	75	78	T1-1	one	{"mods": ["IsCount"]}
S2213671113000738-684	1	MeasuredEntity	79	88	T2-1	allograft	{"HasQuantity": "T1-1"}
S2213671113000738-684	2	Quantity	108	116	T1-2	3 months	{"unit": "months"}
S2213671113000738-684	2	MeasuredEntity	30	38	T2-2	observed	{"HasQuantity": "T1-2"}
S2213671113000738-684	3	Quantity	304	312	T1-3	2 months	{"unit": "months"}
S2213671113000738-684	3	MeasuredEntity	258	300	T2-3	serum level of IFN-γ temporarily increased	{"HasQuantity": "T1-3"}
S2213671113000738-684	3	Qualifier	313	350	T4-3	after the transplant in three animals	{"Qualifies": "T1-3"}
S2213671113000738-684	4	Quantity	337	342	T1-4	three	{"mods": ["IsCount"]}
S2213671113000738-684	4	MeasuredEntity	343	350	T2-4	animals	{"HasQuantity": "T1-4"}
S2213671113000738-684	5	Quantity	405	417	T1-5	3.5–4 months	{"mods": ["IsRange"], "unit": "months"}
S2213671113000738-684	5	MeasuredEntity	367	401	T2-5	immunofluorescence study conducted	{"HasQuantity": "T1-5"}
S2213671113000738-684	5	Qualifier	313	350	T4-5	after the transplant in three animals	{"Qualifies": "T1-5"}
S2213671113000738-684	6	Quantity	1249	1252	T1-6	60%	{"unit": "%"}
S2213671113000738-684	6	MeasuredProperty	1266	1285	T2-6	CD8+ killer T cells	{"HasQuantity": "T1-6"}
S2213671113000738-684	6	MeasuredEntity	1214	1225	T3-6	CD45+ cells	{"HasProperty": "T2-6"}
