docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0012821X12004384-1265	1	Quantity	11	13	T1-1	71	{"mods": ["IsCount"]}
S0012821X12004384-1265	1	MeasuredEntity	14	32	T2-1	palynology samples	{"HasQuantity": "T1-1"}
S0012821X12004384-1265	2	Quantity	512	519	T1-2	1/100th	
S0012821X12004384-1265	2	MeasuredProperty	483	506	T3-2	Each slide was produced	{"HasQuantity": "T1-2"}
S0012821X12004384-1265	2	MeasuredEntity	527	551	T2-2	total material processed	{"HasProperty": "T3-2"}
S0012821X12004384-1265	3	Quantity	594	597	T11-3	5 g	{"unit": "g"}
S0012821X12004384-1265	3	MeasuredProperty	563	577	T81-3	initial weight	{"HasQuantity": "T11-3"}
S0012821X12004384-1265	3	MeasuredEntity	601	615	T91-3	dried sediment	{"HasProperty": "T81-3"}
S0012821X12004384-1265	4	Quantity	689	695	T22-4	0.05 g	{"unit": "g"}
S0012821X12004384-1265	4	MeasuredEntity	699	713	T32-4	dried sediment	{"HasQuantity": "T22-4"}
S0012821X12004384-1265	5	Quantity	1116	1123	T53-5	>250 μm	{"mods": ["IsRange"], "unit": "μm"}
S0012821X12004384-1265	5	MeasuredProperty	1124	1133	T113-5	fractions	{"HasQuantity": "T53-5"}
S0012821X12004384-1265	6	Quantity	1192	1196	T44-6	>90%	{"mods": ["IsRange"], "unit": "%"}
S0012821X12004384-1265	6	MeasuredProperty	1201	1231	T2-6	amorphous organic matter (AOM)	{"HasQuantity": "T44-6"}
S0012821X12004384-1265	6	MeasuredEntity	1116	1133	T1-6	>250 μm fractions	{"HasProperty": "T2-6"}
S0012821X12004384-1265	7	Quantity	1283	1302	T75-7	between 20 and 60 g	{"mods": ["IsRange"], "unit": "g"}
S0012821X12004384-1265	7	MeasuredEntity	1306	1320	T145-7	dried sediment	{"HasQuantity": "T75-7"}
S0012821X12004384-1265	8	Quantity	1357	1362	T66-8	63 μm	{"unit": "μm"}
S0012821X12004384-1265	8	MeasuredEntity	1363	1368	T106-8	sieve	{"HasQuantity": "T66-8"}
