docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0012821X13007309-1989	1	Quantity	476	480	T8	∼0.8	{"mods": ["IsApproximate", "IsMean"], "unit": "Unspecified"}
S0012821X13007309-1989	1	MeasuredProperty	437	448	T10	187Os/188Os	{"HasQuantity": "T8"}
S0012821X13007309-1989	1	MeasuredEntity	428	436	T7	seawater	{"HasProperty": "T10"}
S0012821X13007309-1989	1	Qualifier	449	471	T9	prior to the LIP onset	{"Qualifies": "T10"}
S0012821X13007309-1989	1	Qualifier	420	427	T32	average	{"Qualifies": "T8"}
S0012821X13007309-1989	2	Quantity	529	535	T11	10 ppq	{"mods": ["IsMean"], "unit": "ppq"}
S0012821X13007309-1989	2	MeasuredProperty	501	513	T12	Os abundance	{"HasQuantity": "T11"}
S0012821X13007309-1989	2	MeasuredEntity	517	525	T13	seawater	{"HasProperty": "T12"}
S0012821X13007309-1989	2	Qualifier	493	500	T31	average	{"Qualifies": "T11"}
S0012821X13007309-1989	3	Quantity	634	638	T16	0.13	{"unit": "Unspecified"}
S0012821X13007309-1989	3	MeasuredProperty	619	630	T15	187Os/188Os	{"HasQuantity": "T16"}
S0012821X13007309-1989	3	MeasuredEntity	612	618	T14	basalt	{"HasProperty": "T15"}
S0012821X13007309-1989	4	Quantity	969	981	T19	1 to 600 ppt	{"mods": ["IsRange"], "unit": "ppt"}
S0012821X13007309-1989	4	MeasuredProperty	954	967	T18	Os abundances	{"HasQuantity": "T19"}
S0012821X13007309-1989	4	MeasuredEntity	928	935	T17	basalts	{"HasProperty": "T18"}
S0012821X13007309-1989	5	Quantity	1048	1059	T20	1 to 30 ppt	{"mods": ["IsRange"], "unit": "ppt"}
S0012821X13007309-1989	5	MeasuredProperty	954	967	T18	Os abundances	{"HasQuantity": "T20"}
S0012821X13007309-1989	5	MeasuredEntity	928	935	T17	basalts	{"HasProperty": "T18"}
S0012821X13007309-1989	5	Qualifier	1022	1036	T21	typical values	{"Qualifies": "T20"}
S0012821X13007309-1989	6	Quantity	1172	1178	T24	30 ppt	{"unit": "ppt"}
S0012821X13007309-1989	6	MeasuredProperty	1143	1155	T22	Os abundance	{"HasQuantity": "T24"}
S0012821X13007309-1989	6	MeasuredEntity	1162	1168	T23	basalt	{"HasProperty": "T22"}
S0012821X13007309-1989	7	Quantity	1193	1196	T1	75%	{"unit": "%"}
S0012821X13007309-1989	7	MeasuredProperty	1213	1225	T5	from the LIP	{"HasQuantity": "T1"}
S0012821X13007309-1989	7	MeasuredEntity	1197	1212	T3	Os contribution	{"HasProperty": "T5"}
S0012821X13007309-1989	8	Quantity	1328	1331	T2	25%	{"unit": "%"}
S0012821X13007309-1989	8	MeasuredProperty	1314	1326	T6	from the LIP	{"HasQuantity": "T2"}
S0012821X13007309-1989	8	MeasuredEntity	1305	1313	T4	Os input	{"HasProperty": "T6"}
S0012821X13007309-1989	9	Quantity	1392	1399	T27	100 ppt	{"unit": "ppt"}
S0012821X13007309-1989	9	MeasuredProperty	1377	1390	T26	Os abundances	{"HasQuantity": "T27"}
S0012821X13007309-1989	9	MeasuredEntity	1350	1361	T25	LIP basalts	{"HasProperty": "T26"}
S0012821X13007309-1989	10	Quantity	1503	1511	T28	20 times	{"unit": "times"}
S0012821X13007309-1989	10	MeasuredEntity	1478	1481	T29	gas	{"HasQuantity": "T28"}
S0012821X13007309-1989	10	Qualifier	1512	1530	T30	that of the basalt	{"Qualifies": "T28"}
